threshold,precision,recall,f1
0.1,0.09487179487179487,1.0,0.17330210772833723
0.12000000000000001,0.0967741935483871,0.972972972972973,0.17603911980440098
0.14,0.1016949152542373,0.972972972972973,0.18414322250639387
0.16000000000000003,0.10746268656716418,0.972972972972973,0.1935483870967742
0.18000000000000002,0.1125,0.972972972972973,0.20168067226890757
0.2,0.1157556270096463,0.972972972972973,0.20689655172413793
0.22000000000000003,0.12286689419795221,0.972972972972973,0.21818181818181817
0.24000000000000002,0.13043478260869565,0.972972972972973,0.23003194888178913
0.26,0.1349206349206349,0.918918918918919,0.23529411764705882
0.28,0.13733905579399142,0.8648648648648649,0.23703703703703705
0.30000000000000004,0.14285714285714285,0.8648648648648649,0.24521072796934865
0.32000000000000006,0.14563106796116504,0.8108108108108109,0.24691358024691357
0.3400000000000001,0.14871794871794872,0.7837837837837838,0.25
0.3600000000000001,0.15217391304347827,0.7567567567567568,0.25339366515837103
0.38,0.1588235294117647,0.7297297297297297,0.2608695652173913
0.4,0.17532467532467533,0.7297297297297297,0.28272251308900526
0.42000000000000004,0.17006802721088435,0.6756756756756757,0.2717391304347826
0.44000000000000006,0.17164179104477612,0.6216216216216216,0.26900584795321636
0.4600000000000001,0.18032786885245902,0.5945945945945946,0.27672955974842767
0.4800000000000001,0.19642857142857142,0.5945945945945946,0.2953020134228188
0.5000000000000001,0.21359223300970873,0.5945945945945946,0.3142857142857143
0.5200000000000001,0.2391304347826087,0.5945945945945946,0.34108527131782945
0.54,0.25882352941176473,0.5945945945945946,0.36065573770491804
0.56,0.28,0.5675675675675675,0.375
0.5800000000000001,0.2777777777777778,0.5405405405405406,0.3669724770642202
0.6000000000000001,0.29411764705882354,0.5405405405405406,0.38095238095238093
0.6200000000000001,0.31746031746031744,0.5405405405405406,0.4
0.6400000000000001,0.3157894736842105,0.4864864864864865,0.3829787234042553
0.66,0.3269230769230769,0.4594594594594595,0.38202247191011235
0.68,0.3695652173913043,0.4594594594594595,0.40963855421686746
0.7000000000000001,0.34146341463414637,0.3783783783783784,0.358974358974359
0.7200000000000001,0.38235294117647056,0.35135135135135137,0.36619718309859156
0.7400000000000001,0.3939393939393939,0.35135135135135137,0.37142857142857144
0.7600000000000001,0.42857142857142855,0.32432432432432434,0.36923076923076925
0.7800000000000001,0.391304347826087,0.24324324324324326,0.3
0.8000000000000002,0.5,0.24324324324324326,0.32727272727272727
0.8200000000000002,0.6923076923076923,0.24324324324324326,0.36
0.8400000000000001,0.6666666666666666,0.21621621621621623,0.32653061224489793
0.8600000000000001,0.7,0.1891891891891892,0.2978723404255319
0.8800000000000001,0.6666666666666666,0.16216216216216217,0.2608695652173913
0.9000000000000001,0.625,0.13513513513513514,0.2222222222222222
